"ResponseId","state","juris","species","dur","timechange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Retnoutria",2,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.07899763002752,-0.532023874289486,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Retnoutria",10,"Later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,1
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Retnoutria",11,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.104107179259062,0.777303258476267,1
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Retnoutria",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0273489106616695,-0.532023874289486,0
"R_3y11MJQMOttiaqr","Massachusetts","Network of sites within one state/province","Retnoutria",3,"Earlier due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.947541540106792,-1.84135100705524,1
"R_3XCIHNhh88dMl1L","Massachusetts","Network of sites within one state/province","Retnoutria",3,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.947541540106792,-1.84135100705524,0
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Retnoutria",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_3dKb9I322MuEgFz","Maine","Single site","Artemesia",3,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.947541540106792,0.777303258476267,0
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Artemesia",5,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684629360265329,-0.532023874289486,1
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Artemesia",2,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-1.07899763002752,0.777303258476267,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Berberis",NA,"Earlier due to changing phenology,Later due to changing phenology,At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,1
"R_3dKb9I322MuEgFz","Maine","Single site","Berberis",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Berberis",12,"At the same time despite changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.235563269179794,0.777303258476267,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Berberis",2,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-1.07899763002752,-0.532023874289486,0
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Berberis",3,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.947541540106792,-1.84135100705524,1
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Berberis",5,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684629360265329,-0.532023874289486,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Berberis",10,"Later due to changing phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.0273489106616695,0.777303258476267,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Berberis",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Berberis",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Berberis",5,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.684629360265329,0.777303258476267,0
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Berberis",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.62993153894199,0.777303258476267,0
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Microstegium",2,"Later due to changing phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,1,-1.07899763002752,-1.84135100705524,1
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Microstegium",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,0
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Microstegium",NA,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Microstegium",5,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.684629360265329,0.777303258476267,1
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Microstegium",1,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.21045371994826,-0.532023874289486,1
"R_5QMdxsTPIB3Ml3K","Maryland","Network of sites within one state/province","Microstegium",4,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.81608545018606,0.777303258476267,0
"R_5wUlVJP5S6N1qEN","Virginia","Network of sites within one state/province","Microstegium",10,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,1,-0.0273489106616695,-0.532023874289486,1
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Microstegium",5,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,-0.684629360265329,-0.532023874289486,1
"R_5GqXqu4hfRGN4Y4","Virginia","Network of sites within one state/province","Microstegium",3,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Microstegium",3,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Microstegium",3,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Microstegium",9,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.158805000582401,0.777303258476267,1
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Microstegium",8,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.290261090503133,-0.532023874289486,1
"R_52slHOREy0viarS","Virginia","Network of sites within one state/province","Microstegium",4,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,1,-0.81608545018606,-1.84135100705524,1
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Pueria",7,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.421717180423865,0.777303258476267,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Pueria",4,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.81608545018606,-1.84135100705524,0
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Pueria",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.0273489106616695,-0.532023874289486,0
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Pueria",1,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-1.21045371994826,0.777303258476267,1
"R_5R23jr6FuDmhief","Massachusetts","Single site","Celastrus",3,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.947541540106792,0.777303258476267,1
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Celastrus",NA,"Earlier due to changing phenology,Later due to changing phenology,At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,1
"R_3dKb9I322MuEgFz","Maine","Single site","Celastrus",12,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.235563269179794,0.777303258476267,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Celastrus",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.532023874289486,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Celastrus",12,"Later due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.235563269179794,0.777303258476267,1
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Celastrus",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Celastrus",12,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.235563269179794,0.777303258476267,1
"R_6QOOH4tKwngrOHn","Michigan","Network of sites within one state/province","Celastrus",5,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.684629360265329,-1.84135100705524,0
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Celastrus",9,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.158805000582401,0.777303258476267,0
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Celastrus",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.62993153894199,0.777303258476267,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Celastrus",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Celastrus",4,"Later due to changing phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,-0.81608545018606,0.777303258476267,1
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Celastrus",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Celastrus",5,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.684629360265329,0.777303258476267,0
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Celastrus",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.62993153894199,0.777303258476267,0
"R_1HSUmXBNOowEz38","Michigan","Single site","Vinetoxicum",3,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Vinetoxicum",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Vinetoxicum",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.290261090503133,0.777303258476267,1
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Vinetoxicum",8,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.290261090503133,-0.532023874289486,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Vinetoxicum",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_6jiYUPYGI7NG8Ax","Massachusetts"," Other (please specify)","Vinetoxicum",4,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,-0.81608545018606,-1.84135100705524,1
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Vinetoxicum",10,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0273489106616695,-0.532023874289486,1
"R_61GkUO5dWwqhCjj","Wisconsin","Network of sites within one state/province","Vinetoxicum",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","County Government",2025,10,1,1,-0.290261090503133,0.777303258476267,1
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Vinetoxicum",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0273489106616695,0.777303258476267,1
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Rhamnus",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,0
"R_3dKb9I322MuEgFz","Maine","Single site","Rhamnus",3,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.947541540106792,0.777303258476267,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Rhamnus",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.532023874289486,0
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Rhamnus",20,"Later due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,1.28721198854565,0.777303258476267,1
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Rhamnus",26,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,2.07594852807004,0.777303258476267,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Rhamnus",12,"At the same time despite changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.235563269179794,0.777303258476267,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rhamnus",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rhamnus",5,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Rhamnus",9,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.158805000582401,0.777303258476267,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Rhamnus",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Rhamnus",30,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,2.60177288775297,0.777303258476267,1
"R_3yNv77ves0EseE9","Massachusetts"," Other (please specify)","Rhamnus",4,"Later due to changing phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,1,-0.81608545018606,-1.84135100705524,1
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Rhamnus",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Rhamnus",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0273489106616695,-0.532023874289486,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Rhamnus",5,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.684629360265329,0.777303258476267,0
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Rhamnus",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.28721198854565,0.777303258476267,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Elaeagnus",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,0
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Elaeagnus",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Elaeagnus",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.532023874289486,0
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Elaeagnus",20,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.28721198854565,-1.84135100705524,1
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Elaeagnus",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.28721198854565,0.777303258476267,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Elaeagnus",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,1.28721198854565,0.777303258476267,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Elaeagnus",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Elaeagnus",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.62993153894199,0.777303258476267,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Elaeagnus",5,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.684629360265329,-1.84135100705524,0
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Elaeagnus",9,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.158805000582401,0.777303258476267,0
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Elaeagnus",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.62993153894199,0.777303258476267,0
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Elaeagnus",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.0273489106616695,-0.532023874289486,0
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Elaeagnus",4,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.81608545018606,-0.532023874289486,1
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Elaeagnus",4.75,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Elaeagnus",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Elaeagnus",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Elaeagnus",2,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-1.07899763002752,0.777303258476267,0
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Elaeagnus",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.62993153894199,0.777303258476267,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","impatiens",5,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.684629360265329,0.777303258476267,1
"R_5R23jr6FuDmhief","Massachusetts","Single site","Lonicera",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.290261090503133,0.777303258476267,1
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Lonicera",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,0
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Lonicera",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Lonicera",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.532023874289486,0
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Lonicera",20,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.28721198854565,-1.84135100705524,1
"R_5E71fWz3IruQgh6","Ohio","Network of sites within one state/province","Lonicera",NA,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","County Government",2025,10,1,1,NA,0.777303258476267,1
"R_6otqeEqxavLiZSY","New York","Single site","Lonicera",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.290261090503133,0.777303258476267,1
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Lonicera",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.28721198854565,0.777303258476267,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Lonicera",12,"At the same time despite changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.235563269179794,0.777303258476267,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Lonicera",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Lonicera",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.62993153894199,0.777303258476267,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Lonicera",4,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.81608545018606,-1.84135100705524,0
"R_5tyNGdytbIadKk9","Indiana","Network of sites within one state/province","Lonicera",5,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.684629360265329,-1.84135100705524,1
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Lonicera",5,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Lonicera",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.62993153894199,0.777303258476267,0
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.0273489106616695,-0.532023874289486,0
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Lonicera",6,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.553173270344597,-0.532023874289486,1
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Lonicera",4.75,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Lonicera",30,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,2.60177288775297,0.777303258476267,1
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0273489106616695,-0.532023874289486,0
