"ResponseId","state","juris","species","dur","freqchange","field","career","agency","surveyYear"
"R_3DnGBGAP1dPCes7","Wyoming","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","10+ years"," Federal Government",2025
"R_5uChQWAdHoaNehT","","","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","State Government",2025
"R_6otqeEqxavLiZSY","New York","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_35AYWocGorXLuYK","Connecticut","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years"," Federal Government",2025
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Retnoutria",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025
"R_7LZIwVNGpe3KgTI","Wisconsin","Network of sites within one state/province","Retnoutria",4,"At the same frequency due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_6CfNNocJljlizu5","Michigan","Network of sites within one state/province","Retnoutria",17,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years"," Federal Government",2025
"R_7SutF2RVi019IBz","Ohio","Single site","Retnoutria",0,"I don’t know","Invasive plant management ","6 to 10 years"," Federal Government",2025
"R_5a65Cht00V6P1st","New York","Single site","Retnoutria",5,"I don’t know","Invasive plant management ","Less than 2 years","Academia/University",2025
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_59o44pLJ19Ko1bz","Connecticut","Network of sites within one state/province","Retnoutria",10,NA,"Invasive plant management ","10+ years","State Government",2025
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Retnoutria",5,"More or less frequently for other reasons","Invasive plant management ","6 to 10 years","Academia/University",2025
"R_3mgUtoCpgcqUdlL","Alaska","Network of sites within one state/province","Retnoutria",8,"More frequently due to changing phenology","Invasive plant management ","Less than 2 years","Nongovernmental Organization",2025
"R_3TAxaQL5ajxPgdj","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years"," Federal Government",2025
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Retnoutria",15,"I don’t know","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_3oTl0eprRsr0HBh","New York","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years"," Federal Government",2025
"R_3E7cWMnIfvk6plg","Missouri","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Other",2025
"R_6FfyRLQZZoBnKfa","Maine","Network of sites within one state/province","Retnoutria",15,"I don’t know","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_5tyNGdytbIadKk9","Indiana","Network of sites within one state/province","Retnoutria",3,"I don’t know","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_5QMdxsTPIB3Ml3K","Maryland","Network of sites within one state/province","Retnoutria",2,"I don’t know","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_5wUlVJP5S6N1qEN","Virginia","Network of sites within one state/province","Retnoutria",10,"At the same frequency due to no change in phenology","Invasive plant management ","6 to 10 years","County Government",2025
"R_537x22NmHs7hBVW","New York"," Other (please specify)","Retnoutria",9,"At the same frequency due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025
"R_6QOOH4tKwngrOHn","Michigan","Network of sites within one state/province","Retnoutria",10,"At the same frequency due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_5pmY8oLxe5MTq3z","Missouri","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Retnoutria",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","State Government",2025
"R_6B5TP2f74foQpYL","","","Retnoutria",NA,NA,"","","",2025
"R_3K7NKCzrLwodZrv","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","State Government",2025
"R_5TY2NHEkAN2Kjmo","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","State Government",2025
"R_7qOGDVF2BVxvqca","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","State Government",2025
"R_5I6qNXdl1mckd0K","Michigan","Network of sites within one state/province","Retnoutria",10,"More or less frequently for other reasons","Invasive plant management ","10+ years","State Government",2025
"R_5RfGcJZSPQua3Z1","District of Columbia","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_3O6y7KoIeSKd2hb","","","Retnoutria",NA,NA,"","","",2025
"R_3ePYFHCtZY61sCc","Ohio","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_1gRiAyI70h1oeLD","","","Retnoutria",NA,NA,"I don’t work with invasive plants","","",2025
"R_7Emok7hJscILxnA","","","Retnoutria",NA,NA,"","","",2025
"R_3HorDCHhTQDpkbL","","","Retnoutria",NA,NA,"","","",2025
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Retnoutria",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025
"R_5tMzaB0PTpPS2ir","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Industry/Private Sector",2025
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Retnoutria",30,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_1gXD9kt66uL5qNb","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"I don’t know","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Retnoutria",25,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_7EbhVHuaLaWdFdf","Massachusetts","Single site","Retnoutria",NA,NA,"Invasive plant management ","Less than 2 years","Nongovernmental Organization",2025
"R_7f8UAs2YAktE2it","","","Retnoutria",NA,NA,"","","",2025
"R_7jUugVn6QvfZspP","Virginia","Network of sites within one state/province","Retnoutria",3,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_3q3HlvQtJMVJV4J","Massachusetts","Single site","Retnoutria",5,"Other","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Retnoutria",10,"Less frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_7b3r56BUmJsTaEF","Massachusetts","Single site","Retnoutria",1,"I don’t know","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_6GMsZxu63pRQ7BL","Massachusetts","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_3P4T2m3UdNNEWbk","Maine","Single site","Retnoutria",4,"I don’t know","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025
"R_5r0ua2M67eD5PSo","Ontario","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","City/Municipal Government",2025
"R_3PAegtCXmyNyCd4","","","Retnoutria",NA,NA,"Invasive plant extension","2 to 5 years","Nongovernmental Organization",2025
"R_1rUYrs3htQ2RlNg","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_1E6JiBmm9GjH2a8","Massachusetts","Network of sites within one state/province","Retnoutria",4,"I don’t know","Invasive plant management ","10+ years","State Government",2025
"R_5GqXqu4hfRGN4Y4","Virginia","Network of sites within one state/province","Retnoutria",4,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_7Vru9EQVgndVy1V","North Carolina","Network of sites within one state/province","Retnoutria",30,"Other","Invasive plant management ","6 to 10 years","County Government",2025
"R_5HUk03lYvicd1lR","Vermont","Network of sites within one state/province","Retnoutria",15,"I don’t know","Invasive plant management ","10+ years"," Federal Government",2025
"R_7mVNv0Fpzy8TESl","Missouri","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_1hhjlf1IGLZZ22n","Massachusetts","Multi-state network of sites","Retnoutria",1,"I don’t know","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Retnoutria",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_1Mtee4EvizES7c1","","","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025
"R_1QynJDkZLIXiWuj","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","State Government",2025
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Retnoutria",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Retnoutria",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_6VKHZJJuCF3ssA9","Rhode Island","Network of sites within one state/province","Retnoutria",5,"At the same frequency due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Retnoutria",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_3Cv8u4R4r3z7ZFP","","","Retnoutria",NA,NA,"","","",2025
"R_3LBxMYGRGWo5LzU","New York","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_7aFVfiFc5I5Lt29","","Single site","Retnoutria",15,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_7Mu8SLiJKPmUa8V","","","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_5Eg8xsg08esD7Rv","New Hampshire","Network of sites within one state/province","Retnoutria",NA,"I don’t know","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","State Government",2025
"R_6zI4045OheCWxD4","New York","Multi-state network of sites","Retnoutria",15,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","State Government",2025
"R_3koWzuFby927k7v","Massachusetts","Network of sites within one state/province","Retnoutria",7,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","County Government",2025
"R_7exFz3gk3VIVD1A","","","Retnoutria",NA,NA,"Invasive plant management ","Less than 2 years","Nongovernmental Organization",2025
"R_5dS2zAppP9wPLpj","","","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_5fpfT90CdpwDhvH","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","City/Municipal Government",2025
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Other",2025
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Retnoutria",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_3ky1fT1lcE8AtSF","","","Retnoutria",NA,NA,"","","",2025
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Academia/University",2025
"R_30xjQCBmlmzdGhK","Michigan","Network of sites within one state/province","Retnoutria",9,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","State Government",2025
"R_3PeaJhsds1VeDg6","","","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_7WTR5ZB6xZ7NrYl","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_6jiYUPYGI7NG8Ax","Massachusetts"," Other (please specify)","Retnoutria",4,"I don’t know","Invasive plant management ","2 to 5 years","Other",2025
"R_6LM4zc5bR7utrq6","Wisconsin","Multi-state network of sites","Retnoutria",20,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_7VVKpwRg6BNKYO5","","","Retnoutria",NA,NA,"","","",2025
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Retnoutria",11,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_3zeZCduVIBtWjhr","","","Retnoutria",NA,NA,"Invasive plant management ","Less than 2 years","Nongovernmental Organization",2025
"R_5VKiWunSaIlbEZP","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Industry/Private Sector",2025
"R_5cCxuqU3LPDqcRW","Wisconsin","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_3yNv77ves0EseE9","Massachusetts"," Other (please specify)","Retnoutria",2,"I don’t know","Invasive plant management ","2 to 5 years","City/Municipal Government",2025
"R_394SePwlZlWpdTj","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","State Government",2025
"R_1KVHBfH2skOg057","","","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_71Rf71H2dc8Nszu","","","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","2 to 5 years","State Government",2025
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Retnoutria",11,"More or less frequently for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_5Ootj6qKBL1qRSn","Massachusetts","Single site","Retnoutria",4,"I don’t know","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_5ziHijOkVpyFgPl","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_373eXuoxMgqWyIv","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years"," Federal Government",2025
"R_7SB9LnyKwR5DPnQ","Maine","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","Less than 2 years","Nongovernmental Organization",2025
"R_31MZvBdXVsIj2Z6","","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_72Fajt8sVMFqNIB","Massachusetts","Single site","Retnoutria",NA,NA,"Invasive plant management ","","Nongovernmental Organization",2025
"R_5yNchEbnkvI8VeF","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","County Government",2025
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025
"R_5JmcaJDl3ExE0GF","Massachusetts","Single site","Retnoutria",10,"I don’t know","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_5oGCnRccVycaeZV","Massachusetts","Network of sites within one state/province","Retnoutria",25,"I don’t know","Other (I work with invasive plants but not as a manager, researcher, or extension)","2 to 5 years","City/Municipal Government",2025
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Retnoutria",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025
"R_3NE8VjXO0OOvmMO","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_5NNlKDt9xahEB6V","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","State Government",2025
"R_37VaZFZM4My9RQg","Massachusetts","Network of sites within one state/province","Retnoutria",2,"Other","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_69m69niC7eQvmfH","Massachusetts","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Other",2025
"R_6SkIALEEmjd49Yq","Rhode Island","Single site","Retnoutria",5,"More or less frequently for other reasons","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_52slHOREy0viarS","Virginia","Network of sites within one state/province","Retnoutria",3,"More or less frequently for other reasons","Invasive plant management ","2 to 5 years","City/Municipal Government",2025
"R_3y11MJQMOttiaqr","Massachusetts","Network of sites within one state/province","Retnoutria",3,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","2 to 5 years","Industry/Private Sector",2025
"R_7VHZv0QU22SMcfo","","","Retnoutria",NA,NA,"Invasive plant research/science","10+ years","Other",2025
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Retnoutria",6,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_1WY82cNkvl3SfQt","Massachusetts"," Other (please specify)","Retnoutria",6,"At the same frequency due to no change in phenology","Invasive plant management ","6 to 10 years","City/Municipal Government",2025
"R_5gWhTNexnIxqTnz","Vermont","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Industry/Private Sector",2025
"R_5E49JE842qi5GJr","Massachusetts","Single site","Retnoutria",1,"I don’t know","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_3rwajJwgu3om0rn","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_3IsjGtJEPkCmXJ6","","","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","Less than 2 years","State Government",2025
"R_3CBEqa3RyCeeOxN","","","Retnoutria",NA,NA,"Invasive plant research/science","2 to 5 years","State Government",2025
"R_7R3kptcEqpw4uvH","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_78RhmA0lmlcdoad","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Other",2025
"R_1D1AJJAt8PaqdR8","","","Retnoutria",NA,NA,"","","",2025
"R_7NhlFVsI95PXZnF","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","County Government",2025
"R_6loBMHGNQOY8UWk","","","Retnoutria",NA,NA,"","","",2025
"R_61GkUO5dWwqhCjj","Wisconsin","Network of sites within one state/province","Retnoutria",4,"More or less frequently for other reasons","Invasive plant management ","10+ years","County Government",2025
"R_1y9tqb67sILacJi","","","Retnoutria",NA,NA,"I don’t work with invasive plants","","",2025
"R_5rpFVgwW2vdnPAV","","","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_3XCIHNhh88dMl1L","Massachusetts","Network of sites within one state/province","Retnoutria",3,"More or less frequently for other reasons","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_6VEWbJCjy6ty3UZ","Massachusetts"," Other (please specify)","Retnoutria",8,NA,"Invasive plant management ","6 to 10 years","Other",2025
"R_6JCs2mM2LfciFfn","Massachusetts","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_5QG1Oof7XHqTTuG","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","City/Municipal Government",2025
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Retnoutria",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_63qkdlZAdlp973r","","","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Nongovernmental Organization",2025
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Retnoutria",10,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_1cvzKKYoZlfF8Ua","","","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","2 to 5 years","Nongovernmental Organization",2025
"R_1L5o6lNCpT8BrLb","","","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","City/Municipal Government",2025
"R_5P00Gb4S2nU4OfA","Ohio","Network of sites within one state/province","Retnoutria",1,"More or less frequently for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_7qHEiJLfEIKHoeh","","","Retnoutria",NA,NA,"","","",2025
"R_53E9FNoqpjImGx0","","","Retnoutria",NA,NA,"Invasive plant research/science","2 to 5 years","Academia/University",2025
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
