"ResponseId","state","juris","species","dur","freqchange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift","howshift"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Microstegium",1,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.21438983527918,-0.515142477920408,1,"more"
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Microstegium",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1,"more"
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Microstegium",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1,"more"
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Microstegium",8,"Less frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.299164384220674,-0.515142477920408,1,"less"
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Microstegium",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Celastrus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Celastrus",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1,"more"
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Celastrus",NA,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,NA,0.79049810961295,1,"more"
"R_69m69niC7eQvmfH","Massachusetts","Single site","Celastrus",25,"More frequently due to changing phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,1.92352599692142,0.79049810961295,1,"more"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Vinetoxicum",8,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.299164384220674,-0.515142477920408,1,"more"
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Vinetoxicum",10,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,1,"more"
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Vinetoxicum",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Rhamnus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rhamnus",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1,"more"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rhamnus",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1,"more"
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Rhamnus",40,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,3.8847233920468,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Elaeagnus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Elaeagnus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Elaeagnus",20,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.26979353187963,-1.82078306545377,1,"more"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Elaeagnus",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1,"more"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Elaeagnus",4,"More frequently due to changing phenology,At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.822150356254108,-1.82078306545377,1,"more"
"R_7Vru9EQVgndVy1V","North Carolina","Network of sites within one state/province","Elaeagnus",30,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,1,2.57725846196321,-0.515142477920408,1,"more"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Elaeagnus",4,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.822150356254108,-0.515142477920408,1,"more"
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Elaeagnus",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","impatiens",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.691403863245749,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Lonicera",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3Uciec0XTEPN8VM","Kansas","Network of sites within one state/province","Lonicera",5,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","City/Municipal Government",2025,10,1,1,-0.691403863245749,0.79049810961295,1,"more"
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Lonicera",20,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.26979353187963,-1.82078306545377,1,"more"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Lonicera",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1,"more"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Lonicera",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1,"more"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Lonicera",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Lonicera",20,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Lonicera",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.691403863245749,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Miscanthus",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Miscanthus",10,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.0376713982039572,-0.515142477920408,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Rosa",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Rosa",20,"Less frequently due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.26979353187963,-1.82078306545377,1,"less"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rosa",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1,"more"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rosa",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1,"more"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Rosa",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Centaurea",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Centaurea",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Centaurea",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1,"more"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Centaurea",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Ailanthis",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Ailanthis",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1,"more"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Ailanthis",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Pastinaca",4,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.822150356254108,-0.515142477920408,1,"more"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Pastinaca",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1,"more"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Pastinaca",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1,"more"
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Pastinaca",11,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.0930750948044013,0.79049810961295,1,"more"
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Pastinaca",10,"Less frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,1,"less"
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Pastinaca",5,"Less frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,1,"less"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Ligustrum",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Ligustrum",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1,"more"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Ligustrum",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Celastrus",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Celastrus",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Lonicera",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_7GwBwiGreoKhfNs","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","County Government",2026,6,1,1,NA,-0.515142477920408,1,"more"
"R_5FqDfQSEijhcVoz","Vermont","Multi-state network of sites","Retnoutria",15,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,0.616061066837835,0.79049810961295,1,"more"
"R_3OZoTtXsYc0ZVCo","Michigan","Network of sites within one state/province","Retnoutria",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_5IQt3joF5gjoi45","Kentucky","Network of sites within one state/province","Retnoutria",3,"More frequently due to changing phenology","Invasive plant management ","Less than 2 years","State Government",2026,0.1,1,1,-0.952896849262466,-2.44096234453211,1,"more"
"R_7ZUfZ0EoHO82Ct3","Rhode Island","Network of sites within one state/province","Retnoutria",10,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2026,6,1,1,-0.0376713982039572,-0.515142477920408,1,"more"
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Retnoutria",6,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.560657370237391,0.79049810961295,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Retnoutria",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_3VxbJkG46TDSZKp","Pennsylvania","Multi-state network of sites","Retnoutria",19,"More frequently due to changing phenology","Invasive plant management ","10+ years"," Federal Government",2026,10,1,1,1.13904703887127,0.79049810961295,1,"more"
"R_74FeknDhSsDq3Tj","Virginia","Multi-state network of sites","Retnoutria",10,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2026,6,1,1,-0.0376713982039572,-0.515142477920408,1,"more"
"R_7B9gKVBYajQN8hK","Vermont","Single site","Retnoutria",2,"Less frequently due to changing phenology,Other","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-1.08364334227082,0.79049810961295,1,"less"
"R_3YsNgjgIfC3NqDf","Ontario","Network of sites within one state/province","Retnoutria",8,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2026,2,1,1,-0.299164384220674,-1.82078306545377,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Pueria",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_5FqDfQSEijhcVoz","Vermont","Multi-state network of sites","Rosa",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_7ZUfZ0EoHO82Ct3","Rhode Island","Network of sites within one state/province","Rosa",10,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2026,6,1,1,-0.0376713982039572,-0.515142477920408,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Rosa",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_3OZoTtXsYc0ZVCo","Michigan","Network of sites within one state/province","Microstegium",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_1D5srXkx8ozWrQm","Maryland","Single site","Microstegium",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2026,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Microstegium",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_3mwJdcOf68mSU8i","Ohio"," Other (please specify)","Microstegium",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_6RfvvrSVaZFoLRH","Virginia","Network of sites within one state/province","Microstegium",12,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,0.22382158781276,0.79049810961295,1,"more"
"R_5FqDfQSEijhcVoz","Vermont","Multi-state network of sites","Elaeagnus",12,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,0.22382158781276,0.79049810961295,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Elaeagnus",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Berberis",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_3rk1Kc6ds2b1R97","New York","Network of sites within one state/province","Vinetoxicum",13,"Less frequently due to changing phenology","Invasive plant management ","2 to 5 years","State Government",2026,2,1,1,0.354568080821118,-1.82078306545377,1,"less"
"R_3DHks2vVgdNJOBn","Michigan","Network of sites within one state/province","Vinetoxicum",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2026,2,1,1,-0.691403863245749,-1.82078306545377,1,"more"
"R_5FqDfQSEijhcVoz","Vermont","Multi-state network of sites","Vinetoxicum",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_3OZoTtXsYc0ZVCo","Michigan","Network of sites within one state/province","Vinetoxicum",15,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,0.616061066837835,0.79049810961295,1,"more"
"R_7ZUfZ0EoHO82Ct3","Rhode Island","Network of sites within one state/province","Vinetoxicum",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2026,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Vinetoxicum",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Vinetoxicum",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_3lpMOKMac0cgCvT","Massachusetts","Network of sites within one state/province","Vinetoxicum",3,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.952896849262466,0.79049810961295,1,"more"
"R_5FqDfQSEijhcVoz","Vermont","Multi-state network of sites","Rhamnus",15,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,0.616061066837835,0.79049810961295,1,"more"
"R_3YsNgjgIfC3NqDf","Ontario","Network of sites within one state/province","Rhamnus",8,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2026,2,1,1,-0.299164384220674,-1.82078306545377,1,"more"
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Miscanthus",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.0376713982039572,0.79049810961295,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Miscanthus",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_3OZoTtXsYc0ZVCo","Michigan","Network of sites within one state/province","impatiens",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,-0.691403863245749,0.79049810961295,1,"more"
"R_5FqDfQSEijhcVoz","Vermont","Multi-state network of sites","Lonicera japonica",15,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,0.616061066837835,0.79049810961295,1,"more"
"R_1D5srXkx8ozWrQm","Maryland","Single site","Lonicera japonica",4,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2026,6,1,1,-0.822150356254108,-0.515142477920408,1,"more"
"R_5IQt3joF5gjoi45","Kentucky","Network of sites within one state/province","Lonicera japonica",8,"More frequently due to changing phenology","Invasive plant management ","Less than 2 years","State Government",2026,0.1,1,1,-0.299164384220674,-2.44096234453211,1,"more"
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Lonicera japonica",6,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.560657370237391,0.79049810961295,1,"more"
"R_7iywZfD9qBljGo1","Indiana","Network of sites within one state/province","Lonicera japonica",4,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Other",2026,6,1,1,-0.822150356254108,-0.515142477920408,1,"more"
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Lonicera japonica",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1,"more"
"R_3VxbJkG46TDSZKp","Pennsylvania","Multi-state network of sites","Lonicera japonica",9,"More frequently due to changing phenology","Invasive plant management ","10+ years"," Federal Government",2026,10,1,1,-0.168417891212316,0.79049810961295,1,"more"
"R_74FeknDhSsDq3Tj","Virginia","Multi-state network of sites","Lonicera japonica",10,"Less frequently due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2026,6,1,1,-0.0376713982039572,-0.515142477920408,1,"less"
"R_5GB0QBBYaO426fP","Maine","Single site","Artemisia",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2026,10,1,1,-0.691403863245749,0.79049810961295,1,"more"
