"ResponseId","state","juris","species","dur","timechange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift","howshift"
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Microstegium",NA,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"earlier"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Microstegium",5,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.684629360265329,0.777303258476267,1,"earlier"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Microstegium",1,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.21045371994826,-0.532023874289486,1,"earlier"
"R_5wUlVJP5S6N1qEN","Virginia","Network of sites within one state/province","Microstegium",10,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,1,-0.0273489106616695,-0.532023874289486,1,"earlier"
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Microstegium",5,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,-0.684629360265329,-0.532023874289486,1,"later"
"R_5GqXqu4hfRGN4Y4","Virginia","Network of sites within one state/province","Microstegium",3,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1,"later"
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Microstegium",3,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1,"earlier"
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Microstegium",3,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1,"earlier"
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Microstegium",9,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.158805000582401,0.777303258476267,1,"earlier"
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Microstegium",8,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.290261090503133,-0.532023874289486,1,"later"
"R_52slHOREy0viarS","Virginia","Network of sites within one state/province","Microstegium",4,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,1,-0.81608545018606,-1.84135100705524,1,"earlier"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Pueria",7,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.421717180423865,0.777303258476267,1,"earlier"
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Pueria",1,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-1.21045371994826,0.777303258476267,1,"later"
"R_5R23jr6FuDmhief","Massachusetts","Single site","Celastrus",3,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.947541540106792,0.777303258476267,1,"later"
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Celastrus",NA,"Earlier due to changing phenology,Later due to changing phenology,At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,1,"earlier & later"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Celastrus",12,"Later due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.235563269179794,0.777303258476267,1,"later"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Celastrus",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1,"later"
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Celastrus",12,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.235563269179794,0.777303258476267,1,"earlier"
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Celastrus",4,"Later due to changing phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,-0.81608545018606,0.777303258476267,1,"later"
"R_1HSUmXBNOowEz38","Michigan","Single site","Vinetoxicum",3,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1,"later"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Vinetoxicum",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.290261090503133,0.777303258476267,1,"earlier"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Vinetoxicum",8,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.290261090503133,-0.532023874289486,1,"earlier"
"R_6jiYUPYGI7NG8Ax","Massachusetts"," Other (please specify)","Vinetoxicum",4,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,-0.81608545018606,-1.84135100705524,1,"earlier"
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Vinetoxicum",10,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0273489106616695,-0.532023874289486,1,"earlier"
"R_61GkUO5dWwqhCjj","Wisconsin","Network of sites within one state/province","Vinetoxicum",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","County Government",2025,10,1,1,-0.290261090503133,0.777303258476267,1,"earlier"
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Vinetoxicum",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"earlier"
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Rhamnus",20,"Later due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,1.28721198854565,0.777303258476267,1,"later"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rhamnus",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1,"later"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rhamnus",5,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"later"
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Rhamnus",30,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,2.60177288775297,0.777303258476267,1,"earlier & later"
"R_3yNv77ves0EseE9","Massachusetts"," Other (please specify)","Rhamnus",4,"Later due to changing phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,1,-0.81608545018606,-1.84135100705524,1,"later"
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Elaeagnus",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"later"
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Elaeagnus",20,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.28721198854565,-1.84135100705524,1,"later"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Elaeagnus",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1,"later"
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Elaeagnus",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.62993153894199,0.777303258476267,1,"earlier"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Elaeagnus",4,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.81608545018606,-0.532023874289486,1,"later"
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Elaeagnus",4.75,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1,"earlier & later"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","impatiens",5,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.684629360265329,0.777303258476267,1,"earlier"
"R_5R23jr6FuDmhief","Massachusetts","Single site","Lonicera",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.290261090503133,0.777303258476267,1,"earlier"
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Lonicera",20,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.28721198854565,-1.84135100705524,1,"later"
"R_5E71fWz3IruQgh6","Ohio","Network of sites within one state/province","Lonicera",NA,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","County Government",2025,10,1,1,NA,0.777303258476267,1,"earlier & later"
"R_6otqeEqxavLiZSY","New York","Single site","Lonicera",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.290261090503133,0.777303258476267,1,"earlier"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Lonicera",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1,"later"
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Lonicera",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.62993153894199,0.777303258476267,1,"earlier"
"R_5tyNGdytbIadKk9","Indiana","Network of sites within one state/province","Lonicera",5,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"earlier & later"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Lonicera",5,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"later"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Lonicera",6,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.553173270344597,-0.532023874289486,1,"earlier & later"
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Lonicera",4.75,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1,"earlier & later"
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Lonicera",30,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,2.60177288775297,0.777303258476267,1,"earlier & later"
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Miscanthus",NA,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"earlier"
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Rosa",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"later"
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Rosa",20,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.28721198854565,-1.84135100705524,1,"earlier"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rosa",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1,"later"
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Rosa",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.62993153894199,0.777303258476267,1,"earlier"
"R_5tyNGdytbIadKk9","Indiana","Network of sites within one state/province","Rosa",5,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"earlier & later"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rosa",5,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"later"
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Rosa",6,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.553173270344597,-0.532023874289486,1,"earlier"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Rosa",3,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1,"earlier & later"
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Rosa",4.75,"Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1,"later"
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Acer",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"later"
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Acer",25,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.94449243814931,0.777303258476267,1,"later"
"R_3SsX1syXYcf2oyl","Maine","Network of sites within one state/province","Phragmites",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"earlier"
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Phragmites",16,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.761387628862721,0.777303258476267,1,"earlier"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Phragmites",15,"Later due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.62993153894199,0.777303258476267,1,"later"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Phragmites",3,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1,"earlier"
"R_6QOOH4tKwngrOHn","Michigan","Network of sites within one state/province","Phragmites",10,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.0273489106616695,-1.84135100705524,1,"earlier"
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Phragmites",5,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,-0.684629360265329,-0.532023874289486,1,"later"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Phragmites",5,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"earlier"
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Phragmites",4.75,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1,"earlier"
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Phragmites",10,"Later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"later"
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Phragmites",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"earlier"
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Phragmites",10,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0273489106616695,-0.532023874289486,1,"earlier"
"R_5R23jr6FuDmhief","Massachusetts","Single site","Centaurea",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"earlier"
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Centaurea",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.62993153894199,0.777303258476267,1,"earlier"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Centaurea",18,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,1.02429980870419,0.777303258476267,1,"earlier"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Centaurea",5,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684629360265329,-0.532023874289486,1,"earlier"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Centaurea",5,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"earlier"
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Centaurea",5,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.684629360265329,0.777303258476267,1,"earlier"
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Ailanthis",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"later"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Ailanthis",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1,"later"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Ailanthis",3,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947541540106792,-0.532023874289486,1,"later"
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Ailanthis",4.75,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1,"earlier & later"
"R_6oQyieKuImjkMkF","Minnesota","Network of sites within one state/province","Pastinaca",6,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.553173270344597,-1.84135100705524,1,"earlier"
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Pastinaca",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.62993153894199,0.777303258476267,1,"earlier"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Pastinaca",12,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.235563269179794,0.777303258476267,1,"earlier"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Pastinaca",5,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684629360265329,-0.532023874289486,1,"earlier"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Pastinaca",5,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"earlier"
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Pastinaca",3,"Earlier due to changing phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.947541540106792,0.777303258476267,1,"earlier"
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Pastinaca",11,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.104107179259062,0.777303258476267,1,"earlier"
"R_5cCxuqU3LPDqcRW","Wisconsin","Network of sites within one state/province","Pastinaca",9,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.158805000582401,-1.84135100705524,1,"earlier"
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Pastinaca",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"earlier"
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Ligustrum",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"later"
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Ligustrum",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.158805000582401,-0.532023874289486,1,"later"
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Ligustrum",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.62993153894199,0.777303258476267,1,"earlier"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Ligustrum",2,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.07899763002752,-0.532023874289486,1,"earlier & later"
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Ligustrum",4.75,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717493382745512,-1.84135100705524,1,"earlier"
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Ligustrum",16,"Earlier due to changing phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,0.761387628862721,0.777303258476267,1,"earlier"
"R_52slHOREy0viarS","Virginia","Network of sites within one state/province","Ligustrum",4,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,1,-0.81608545018606,-1.84135100705524,1,"earlier"
"R_7zqDdqzI3278NXi","Maryland","Network of sites within one state/province","Celastrus",NA,"Treatment ending later due to changing phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,NA,0.777303258476267,1,"later"
"R_5q56JqF0jN1J5xT","New Hampshire","Multi-state network of sites","Celastrus",20,"Treatment starting earlier due to changing phenology,Treatment ending later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.28721198854565,0.777303258476267,1,"earlier & later"
"R_3OZoTtXsYc0ZVCo","Michigan","Network of sites within one state/province","Celastrus",20,"Treatment ending later due to changing phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,1.28721198854565,0.777303258476267,1,"later"
"R_3l6nHVEdBFb0wAn","Vermont","Multi-state network of sites","Celastrus",15,"Treatment starting earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,0.62993153894199,0.777303258476267,1,"earlier"
"R_6b7y38YC6VhzhAZ","New Jersey"," Other (please specify)","Celastrus",5,"Treatment ending later due to changing phenology","Invasive plant management ","6 to 10 years","County Government",2026,6,1,1,-0.684629360265329,-0.532023874289486,1,"later"
"R_3Qxjb9i4NVkgesX","Massachusetts","Network of sites within one state/province","Celastrus",10,"Treatment ending later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.0273489106616695,0.777303258476267,1,"later"
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Celastrus",10,"Treatment starting earlier due to changing phenology,Treatment ending later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.0273489106616695,0.777303258476267,1,"earlier & later"
