"ResponseId","state","juris","species","dur","timechange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent"
"R_537x22NmHs7hBVW","New York"," Other (please specify)","Retnoutria",9,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,-0.159651592452211,-0.537303438417083
"R_6QOOH4tKwngrOHn","Michigan","Network of sites within one state/province","Retnoutria",10,"Earlier or later for other reasons","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.0283163273366078,-1.85051033624031
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Retnoutria",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.537303438417083
"R_5I6qNXdl1mckd0K","Michigan","Network of sites within one state/province","Retnoutria",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","State Government",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Retnoutria",5,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684992652914624,-1.85051033624031
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Retnoutria",30,"Later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,2.59838897497546,0.77590345940614
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Retnoutria",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,1.94171264939744,0.77590345940614
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Retnoutria",10,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_7Vru9EQVgndVy1V","North Carolina","Network of sites within one state/province","Retnoutria",30,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,0,2.59838897497546,-0.537303438417083
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Retnoutria",6,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Retnoutria",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Retnoutria",5,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_6VKHZJJuCF3ssA9","Rhode Island","Network of sites within one state/province","Retnoutria",5,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.684992652914624,-1.85051033624031
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Retnoutria",2,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.07899844826143,-0.537303438417083
"R_6zI4045OheCWxD4","New York","Multi-state network of sites","Retnoutria",15,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,0.628359998241409,0.77590345940614
"R_3koWzuFby927k7v","Massachusetts","Network of sites within one state/province","Retnoutria",7,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.422322122683418,0.77590345940614
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Retnoutria",10,"Later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_30xjQCBmlmzdGhK","Michigan","Network of sites within one state/province","Retnoutria",9,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,-0.159651592452211,0.77590345940614
"R_6LM4zc5bR7utrq6","Wisconsin","Multi-state network of sites","Retnoutria",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.28503632381942,0.77590345940614
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Retnoutria",11,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.103018937778995,0.77590345940614
"R_3yNv77ves0EseE9","Massachusetts"," Other (please specify)","Retnoutria",2,"Earlier or later for other reasons,At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,0,-1.07899844826143,-1.85051033624031
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Retnoutria",11,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,0.103018937778995,-0.537303438417083
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Retnoutria",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0283163273366078,-0.537303438417083
"R_6SkIALEEmjd49Yq","Rhode Island","Single site","Retnoutria",5,"Earlier or later for other reasons","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.684992652914624,-1.85051033624031
"R_52slHOREy0viarS","Virginia","Network of sites within one state/province","Retnoutria",3,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,0,-0.947663183145831,-1.85051033624031
"R_3y11MJQMOttiaqr","Massachusetts","Network of sites within one state/province","Retnoutria",3,"Earlier due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.947663183145831,-1.85051033624031
"R_1WY82cNkvl3SfQt","Massachusetts"," Other (please specify)","Retnoutria",6,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","City/Municipal Government",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_5E49JE842qi5GJr","Massachusetts","Single site","Retnoutria",1,"Earlier or later for other reasons","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-1.21033371337704,-1.85051033624031
"R_61GkUO5dWwqhCjj","Wisconsin","Network of sites within one state/province","Retnoutria",4,"At the same time due to no change in phenology","Invasive plant management ","10+ years","County Government",2025,10,1,0,-0.816327918030227,0.77590345940614
"R_3XCIHNhh88dMl1L","Massachusetts","Network of sites within one state/province","Retnoutria",3,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.947663183145831,-1.85051033624031
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Retnoutria",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_5P00Gb4S2nU4OfA","Ohio","Network of sites within one state/province","Retnoutria",1,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-1.21033371337704,0.77590345940614
"R_6WYgJBttCwwhXSp","New York","Network of sites within one state/province","Artemesia",14,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,0.497024733125805,0.77590345940614
"R_3XrXjwaVmvGXoOJ","Maryland","Network of sites within one state/province","Artemesia",7,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,-0.422322122683418,0.77590345940614
"R_3dKb9I322MuEgFz","Maine","Single site","Artemesia",3,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.947663183145831,0.77590345940614
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Artemesia",6,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_5BQkPPSouGpr2Hg","Massachusetts","Multi-state network of sites","Artemesia",NA,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,NA,0.77590345940614
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Artemesia",2,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,0,-1.07899844826143,-1.85051033624031
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Artemesia",5,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684992652914624,-0.537303438417083
"R_5QMdxsTPIB3Ml3K","Maryland","Network of sites within one state/province","Artemesia",4,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,-0.816327918030227,0.77590345940614
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Artemesia",NA,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,NA,-0.537303438417083
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Artemesia",10,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Artemesia",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,1.94171264939744,0.77590345940614
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Artemesia",3,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.947663183145831,-0.537303438417083
"R_30xjQCBmlmzdGhK","Michigan","Network of sites within one state/province","Artemesia",2,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,-1.07899844826143,0.77590345940614
"R_3yNv77ves0EseE9","Massachusetts"," Other (please specify)","Artemesia",1,"Earlier or later for other reasons,At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,0,-1.21033371337704,-1.85051033624031
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Artemesia",11,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,0.103018937778995,-0.537303438417083
"R_6SkIALEEmjd49Yq","Rhode Island","Single site","Artemesia",3,"Earlier or later for other reasons","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.947663183145831,-1.85051033624031
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Artemesia",2,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-1.07899844826143,0.77590345940614
"R_3XCIHNhh88dMl1L","Massachusetts","Network of sites within one state/province","Artemesia",2,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-1.07899844826143,-1.85051033624031
"R_5P00Gb4S2nU4OfA","Ohio","Network of sites within one state/province","Artemesia",4,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.816327918030227,0.77590345940614
"R_6WYgJBttCwwhXSp","New York","Network of sites within one state/province","Berberis",16,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,0.759695263357012,0.77590345940614
"R_7ezzjbfl2jdcxDx","Vermont","Network of sites within one state/province","Berberis",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.94171264939744,0.77590345940614
"R_3XrXjwaVmvGXoOJ","Maryland","Network of sites within one state/province","Berberis",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.28503632381942,0.77590345940614
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Berberis",NA,"Earlier due to changing phenology,Later due to changing phenology,At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.77590345940614
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Berberis",NA,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,NA,-0.537303438417083
"R_3dKb9I322MuEgFz","Maine","Single site","Berberis",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_5UWrqrzzclD8FIu","Vermont","Multi-state network of sites","Berberis",NA,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2025,6,1,0,NA,-0.537303438417083
"R_3SsX1syXYcf2oyl","Maine","Network of sites within one state/province","Berberis",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Berberis",6,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_5BQkPPSouGpr2Hg","Massachusetts","Multi-state network of sites","Berberis",NA,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,NA,0.77590345940614
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Berberis",3,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,0,-0.947663183145831,-1.85051033624031
"R_1LgxvH8g74WcAal","New York","Network of sites within one state/province","Berberis",16,"Earlier or later for other reasons","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,0.759695263357012,0.77590345940614
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Berberis",12,"At the same time despite changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.234354202894599,0.77590345940614
"R_7LZIwVNGpe3KgTI","Wisconsin","Network of sites within one state/province","Berberis",5,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.684992652914624,-1.85051033624031
"R_6CfNNocJljlizu5","Michigan","Network of sites within one state/province","Berberis",17,"At the same time due to no change in phenology","Invasive plant management ","10+ years"," Federal Government",2025,10,1,0,0.891030528472615,0.77590345940614
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Berberis",5,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Berberis",2,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-1.07899844826143,-0.537303438417083
"R_537x22NmHs7hBVW","New York"," Other (please specify)","Berberis",2,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,-1.07899844826143,-0.537303438417083
"R_6QOOH4tKwngrOHn","Michigan","Network of sites within one state/province","Berberis",5,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.684992652914624,-1.85051033624031
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Berberis",NA,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,NA,-0.537303438417083
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Berberis",3,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.947663183145831,-1.85051033624031
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Berberis",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.28503632381942,0.77590345940614
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Berberis",10,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Berberis",25,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.94171264939744,0.77590345940614
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Berberis",5,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Berberis",6,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Berberis",5,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684992652914624,-0.537303438417083
"R_6VKHZJJuCF3ssA9","Rhode Island","Network of sites within one state/province","Berberis",10,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.0283163273366078,-1.85051033624031
"R_6zI4045OheCWxD4","New York","Multi-state network of sites","Berberis",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,1.28503632381942,0.77590345940614
"R_3koWzuFby927k7v","Massachusetts","Network of sites within one state/province","Berberis",15,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,0.628359998241409,0.77590345940614
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Berberis",10,"Later due to changing phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Berberis",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_6LM4zc5bR7utrq6","Wisconsin","Multi-state network of sites","Berberis",10,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Berberis",12,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,0.234354202894599,0.77590345940614
"R_5cCxuqU3LPDqcRW","Wisconsin","Network of sites within one state/province","Berberis",9,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.159651592452211,-1.85051033624031
"R_3yNv77ves0EseE9","Massachusetts"," Other (please specify)","Berberis",2,"Earlier or later for other reasons,At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,0,-1.07899844826143,-1.85051033624031
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Berberis",11,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,0.103018937778995,-0.537303438417083
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Berberis",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Berberis",2,"At the same time due to no change in phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,0,-1.07899844826143,0.77590345940614
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Berberis",10,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,0,-0.0283163273366078,-0.537303438417083
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Berberis",5,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.684992652914624,0.77590345940614
"R_1WY82cNkvl3SfQt","Massachusetts"," Other (please specify)","Berberis",3,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","City/Municipal Government",2025,6,1,0,-0.947663183145831,-0.537303438417083
"R_61GkUO5dWwqhCjj","Wisconsin","Network of sites within one state/province","Berberis",4,"At the same time due to no change in phenology","Invasive plant management ","10+ years","County Government",2025,10,1,0,-0.816327918030227,0.77590345940614
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Berberis",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.628359998241409,0.77590345940614
"R_5P00Gb4S2nU4OfA","Ohio","Network of sites within one state/province","Berberis",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_6WYgJBttCwwhXSp","New York","Network of sites within one state/province","Microstegium",5,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Microstegium",2,"Later due to changing phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,1,-1.07899844826143,-1.85051033624031
"R_1HSUmXBNOowEz38","Michigan","Single site","Microstegium",7,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.422322122683418,-0.537303438417083
"R_3XrXjwaVmvGXoOJ","Maryland","Network of sites within one state/province","Microstegium",7,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,-0.422322122683418,0.77590345940614
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Microstegium",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.77590345940614
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Microstegium",NA,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.537303438417083
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Microstegium",2,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-1.07899844826143,-0.537303438417083
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Microstegium",5,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Microstegium",2,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,0,-1.07899844826143,-1.85051033624031
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Microstegium",5,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.684992652914624,0.77590345940614
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Microstegium",1,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.21033371337704,-0.537303438417083
"R_3E7cWMnIfvk6plg","Missouri","Network of sites within one state/province","Microstegium",1,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,0,-1.21033371337704,0.77590345940614
"R_5QMdxsTPIB3Ml3K","Maryland","Network of sites within one state/province","Microstegium",4,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.816327918030227,0.77590345940614
"R_5wUlVJP5S6N1qEN","Virginia","Network of sites within one state/province","Microstegium",10,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,1,-0.0283163273366078,-0.537303438417083
"R_5pmY8oLxe5MTq3z","Missouri","Single site","Microstegium",9,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.159651592452211,0.77590345940614
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Microstegium",5,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,-0.684992652914624,-0.537303438417083
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Microstegium",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.94171264939744,0.77590345940614
"R_5GqXqu4hfRGN4Y4","Virginia","Network of sites within one state/province","Microstegium",3,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947663183145831,-0.537303438417083
