"ResponseId","state","juris","species","dur","freqchange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Retnoutria",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Retnoutria",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Retnoutria",11,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.0930750948044013,0.79049810961295,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Retnoutria",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Retnoutria",6,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.560657370237391,0.79049810961295,1
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Retnoutria",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Artemesia",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Artemesia",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Artemesia",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Artemesia",25,"More frequently due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,1.92352599692142,0.79049810961295,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Artemesia",2,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-1.08364334227082,0.79049810961295,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Artemesia",2,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-1.08364334227082,0.79049810961295,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Berberis",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Berberis",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Berberis",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_1LgxvH8g74WcAal","New York","Network of sites within one state/province","Berberis",16,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.746807559846193,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Berberis",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Berberis",2,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-1.08364334227082,-0.515142477920408,0
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Berberis",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.515142477920408,0
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Berberis",3,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.952896849262466,-1.82078306545377,0
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Berberis",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Berberis",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Berberis",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_5cCxuqU3LPDqcRW","Wisconsin","Network of sites within one state/province","Berberis",9,"Less frequently due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.168417891212316,-1.82078306545377,1
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Berberis",2,"Less frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,-1.08364334227082,0.79049810961295,1
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Berberis",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Berberis",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Microstegium",2,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,1,-1.08364334227082,-1.82078306545377,1
"R_1HSUmXBNOowEz38","Michigan","Single site","Microstegium",7,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.429910877229032,-0.515142477920408,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Microstegium",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Microstegium",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Microstegium",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Microstegium",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.691403863245749,0.79049810961295,1
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Microstegium",1,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.21438983527918,-0.515142477920408,1
"R_5wUlVJP5S6N1qEN","Virginia","Network of sites within one state/province","Microstegium",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Microstegium",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Microstegium",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Microstegium",9,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.168417891212316,0.79049810961295,0
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Microstegium",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Microstegium",8,"Less frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.299164384220674,-0.515142477920408,1
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Microstegium",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,1
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Pueria",7,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.429910877229032,0.79049810961295,0
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Pueria",4,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.822150356254108,-1.82078306545377,0
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Pueria",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_5R23jr6FuDmhief","Massachusetts","Single site","Celastrus",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Celastrus",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Celastrus",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Celastrus",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.515142477920408,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Celastrus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_1LgxvH8g74WcAal","New York","Network of sites within one state/province","Celastrus",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_6otqeEqxavLiZSY","New York","Single site","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Celastrus",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Celastrus",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Celastrus",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Celastrus",NA,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,NA,0.79049810961295,1
"R_69m69niC7eQvmfH","Massachusetts","Single site","Celastrus",25,"More frequently due to changing phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,1.92352599692142,0.79049810961295,1
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Celastrus",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Celastrus",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_1HSUmXBNOowEz38","Michigan","Single site","Vinetoxicum",3,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Vinetoxicum",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Vinetoxicum",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_6otqeEqxavLiZSY","New York","Single site","Vinetoxicum",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Vinetoxicum",8,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.299164384220674,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Vinetoxicum",8,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.299164384220674,-0.515142477920408,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Vinetoxicum",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Vinetoxicum",10,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,1
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Vinetoxicum",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,1
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Rhamnus",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Rhamnus",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Rhamnus",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.515142477920408,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Rhamnus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_6otqeEqxavLiZSY","New York","Single site","Rhamnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Rhamnus",26,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,2.05427248992978,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Rhamnus",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rhamnus",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rhamnus",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Rhamnus",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Rhamnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Rhamnus",40,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,3.8847233920468,0.79049810961295,1
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Rhamnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Rhamnus",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Rhamnus",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Elaeagnus",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Elaeagnus",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.515142477920408,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Elaeagnus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Elaeagnus",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Elaeagnus",20,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.26979353187963,-1.82078306545377,1
"R_6otqeEqxavLiZSY","New York","Single site","Elaeagnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Elaeagnus",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Elaeagnus",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Elaeagnus",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Elaeagnus",5,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.691403863245749,-1.82078306545377,0
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Elaeagnus",4,"More frequently due to changing phenology,At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.822150356254108,-1.82078306545377,1
"R_7Vru9EQVgndVy1V","North Carolina","Network of sites within one state/province","Elaeagnus",30,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,1,2.57725846196321,-0.515142477920408,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Elaeagnus",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Elaeagnus",4,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.822150356254108,-0.515142477920408,1
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Elaeagnus",4.75,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.724090486497839,-1.82078306545377,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Elaeagnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Elaeagnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Elaeagnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Elaeagnus",2,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-1.08364334227082,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Elaeagnus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Elaeagnus",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,1
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","impatiens",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.691403863245749,0.79049810961295,1
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","impatiens",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","impatiens",8,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.299164384220674,0.79049810961295,0
"R_5R23jr6FuDmhief","Massachusetts","Single site","Lonicera",8,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.299164384220674,0.79049810961295,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Lonicera",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Lonicera",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Lonicera",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.515142477920408,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Lonicera",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_3Uciec0XTEPN8VM","Kansas","Network of sites within one state/province","Lonicera",5,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","City/Municipal Government",2025,10,1,1,-0.691403863245749,0.79049810961295,1
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Lonicera",20,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.26979353187963,-1.82078306545377,1
"R_6otqeEqxavLiZSY","New York","Single site","Lonicera",8,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.299164384220674,0.79049810961295,0
